Station,Connected Stations
Noapara (13),"Dum Dum Cantonment (50), Dum Dum Cantonment (50), Dum Dum Cantonment (50)"
Dum Dum Cantonment (50),"Jessore Road (51), Jessore Road (51), Jessore Road (51)"
Jessore Road (51),"Biman Bandar (52), Biman Bandar (52), Biman Bandar (52)"
