Station,Connected Stations
Esplanade (3),Park Street (22)
Park Street (22),"Esplanade (3), Victoria Memorial (49)"
Majerhat (46),Mominpur (47)
Mominpur (47),"Majerhat (46), Khidderpore (48)"
Khidderpore (48),"Mominpur (47), Victoria Memorial (49)"
Victoria Memorial (49),"Khidderpore (48), Park Street (22)"
