Station,Connected Stations
Kavi Subhas (35),Satyajit Ray (43)
Satyajit Ray (43),"Kavi Subhas (35), Jyotirindra Nath Nandy (44)"
Jyotirindra Nath Nandy (44),"Satyajit Ray (43), Kavi Sukanta (45)"
Kavi Sukanta (45),"Jyotirindra Nath Nandy (44), Hemanta Mukherjee (46)"
Hemanta Mukherjee (46),Kavi Sukanta (45)
